,list_name,song_id,song_name,artist,popularity,release_date,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,mode,key
29,Cringe,30MM5jWpUmOxtTNd9Ey5LZ,Unforgettable,Thomas Rhett,68,2017-09-08,0.75,0.0849,130.077,0.0314,0.0303,0.000132,0.6609999999999999,157080,-5.497000000000001,0.828,1,7
30,Cringe,6fQcqEcXfnY0L6VwS0c3gT,Cheerleader (Felix Jaehn Remix) - Radio Edit,OMI,62,2014-12-02,0.5760000000000001,0.0656,118.04,0.0372,0.184,0.028999999999999998,0.8270000000000001,180021,-7.774,0.41,1,4
31,Cringe,6IuVmxZtP3h5wvErFpDcVR,Bedroom Floor,Liam Payne,61,2019-12-06,0.684,0.107,119.932,0.0687,0.342,6.37e-05,0.625,188234,-7.147,0.217,1,1
32,Cringe,4qjLvvBh5ZeKEPyShKRf06,Narcissist (feat. The 1975),No Rome,66,2018-08-28,0.682,0.085,179.96900000000002,0.113,0.218,1.53e-06,0.5429999999999999,195502,-5.81,0.424,1,3
33,Cringe,6J6e0hfRgT1sh3MBEdzIzD,Left to Right,Marteen,51,2018-02-23,0.615,0.139,102.977,0.0379,0.0468,4.16e-06,0.8290000000000001,190589,-3.78,0.841,0,5
36,Halsey inducing palsey,5k38wzpLb15YgncyWdTZE4,Him & I (with Halsey),G-Eazy,75,2017-12-15,0.731,0.308,87.90799999999999,0.0868,0.0534,0.0,0.589,268867,-6.343,0.191,1,2
37,Halsey inducing palsey,1TnUURhehaoMWKAqQtirm6,Colors,Halsey,70,2015-08-28,0.812,0.092,100.02,0.0617,0.0534,0.0,0.512,249500,-4.809,0.521,1,1
38,Halsey inducing palsey,7y9iMe8SOB6z3NoHE2OfXl,Bad At Love,Halsey,74,2017-06-02,0.7509999999999999,0.0893,118.384,0.0296,0.0604,0.0,0.675,181279,-3.5389999999999997,0.612,1,0
39,Halsey inducing palsey,6s8PRmROPJHlqZmu9Bbviz,Roman Holiday,Halsey,57,2015-08-28,0.836,0.105,74.473,0.0395,0.0322,2.34e-05,0.431,201549,-4.428,0.75,1,5
40,Halsey inducing palsey,16w8ZGVSjI4TlTLV8VimBY,Castle,Halsey,68,2015-08-28,0.5710000000000001,0.0946,129.959,0.0327,0.25,0.0,0.626,277623,-7.461,0.16399999999999998,0,7
41,Halsey inducing palsey,5KawlOMHjWeUjQtnuRs22c,Boy With Luv (feat. Halsey),BTS,84,2019-04-12,0.862,0.192,119.991,0.0965,0.0923,0.0,0.645,229773,-4.757,0.7979999999999999,0,11
42,Halsey inducing palsey,7i2DJ88J7jQ8K7zqFX2fW8,Now Or Never,Halsey,69,2017-06-02,0.585,0.131,110.03,0.0354,0.107,1.11e-06,0.67,214802,-4.861000000000001,0.447,0,6
46,Halsey inducing palsey,2IO7yf562c1zLzpanal1DT,Gasoline,Halsey,73,2015-08-28,0.58,0.129,119.99700000000001,0.0399,0.223,0.0,0.731,199593,-7.327999999999999,0.319,0,10
47,Halsey inducing palsey,7ozvM98YyrdyOBh1lItVHc,clementine,Halsey,58,2019-09-29,0.43700000000000006,0.106,143.263,0.162,0.885,0.0,0.5329999999999999,234411,-7.659,0.48,0,3
48,Halsey inducing palsey,0d2iYfpKoM0QCKvcLCkBao,Eastside (with Halsey & Khalid),benny blanco,80,2018-07-12,0.68,0.11599999999999999,89.391,0.321,0.555,0.0,0.56,173800,-7.648,0.319,0,6
49,Halsey inducing palsey,6V9fHiv84WlVTg7CSnIVY2,Graveyard,Halsey,11,2019-09-13,0.583,0.18100000000000002,92.04299999999999,0.0747,0.231,4.48e-05,0.667,181806,-5.127000000000001,0.187,0,11
52,Halsey inducing palsey,44n97yHySt0Z9rqPaXgjCK,Sorry,Halsey,76,2017-06-02,0.25,0.11699999999999999,74.10300000000001,0.0367,0.9129999999999999,0.0,0.513,220541,-9.376,0.35100000000000003,0,5
53,Halsey inducing palsey,2usxQITOSDqvkYiI0oIwao,You should be sad,Halsey,7,2020-01-10,0.585,0.109,110.94,0.0277,0.14300000000000002,0.0,0.591,205473,-6.35,0.324,1,2
54,Yash ke gaane,1emx944EiuTphS9qv5mslc,Tears In Heaven,Boyce Avenue,49,2015-04-28,0.0926,0.11199999999999999,77.934,0.0307,0.9209999999999999,0.0,0.748,280652,-11.530999999999999,0.327,1,8
55,Yash ke gaane,2jdAk8ATWIL3dwT47XpRfu,Slow Dancing in a Burning Room,John Mayer,74,2006-09-11,0.361,0.0805,134.15,0.0273,0.573,0.00506,0.6679999999999999,242000,-8.69,0.28800000000000003,0,1
