,id,spotify_id,list_name,list_id,song_id,song_name,artist,popularity,release_date,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,mode,key
21,4,4maOSsMfCcqM9tLk4lZWUP,Cringe,4maOSsMfCcqM9tLk4lZWUP,5j5dRrqFsVK47Ani6KfTFA,The Reason Why,JP Cooper,49,2019-10-24,0.73,0.13,188.996,0.344,0.116,0,0.38,186081,-4.581,0.467,1,10
22,4,4maOSsMfCcqM9tLk4lZWUP,Cringe,4maOSsMfCcqM9tLk4lZWUP,0oukMLKedsqQ3ltnI2daRO,Haaye Oye (feat. Ash King),QARAN,61,2019-03-22,0.727,0.153,123.959,0.0383,0.173,0,0.633,200029,-4.104,0.543,0,11
23,4,4maOSsMfCcqM9tLk4lZWUP,Cringe,4maOSsMfCcqM9tLk4lZWUP,0wsXdby1T3PWLauIkGUZzg,Hula Hoop,OMI,60,2015-10-16,0.842,0.294,121.986,0.039,0.0248,0,0.673,205474,-4.666,0.509,1,1
24,4,4maOSsMfCcqM9tLk4lZWUP,Cringe,4maOSsMfCcqM9tLk4lZWUP,2fCCoGXcA2j9fFhvfRqfVQ,Masterpiece,OMI,52,2018-08-17,0.623,0.0559,113.046,0.066,0.461,6.73e-05,0.854,180875,-5.39,0.822,1,2
25,4,4maOSsMfCcqM9tLk4lZWUP,Cringe,4maOSsMfCcqM9tLk4lZWUP,6ayTAnEwP3Yo4DOjLsN5r2,Hola (feat. Maluma),Flo Rida,57,2017-11-17,0.711,0.11,113.026,0.0769,0.0207,3.04e-05,0.757,192377,-5.693,0.649,1,8
26,4,4maOSsMfCcqM9tLk4lZWUP,Cringe,4maOSsMfCcqM9tLk4lZWUP,3NLnwwAQbbFKcEcV8hDItk,Perfect,One Direction,77,2015-11-13,0.823,0.119,99.933,0.0762,0.0598,0,0.647,230333,-5.231,0.396,1,2
27,4,4maOSsMfCcqM9tLk4lZWUP,Cringe,4maOSsMfCcqM9tLk4lZWUP,7k6tAZp4m93oswrPqSfBbc,On Me (feat. Ava Max),Thomas Rhett,75,2020-05-15,0.721,0.216,177.918,0.0472,0.0119,0,0.548,164683,-4.466,0.594,1,8
28,4,4maOSsMfCcqM9tLk4lZWUP,Cringe,4maOSsMfCcqM9tLk4lZWUP,7k6tAZp4m93oswrPqSfBbc,On Me (feat. Ava Max),Thomas Rhett,75,2020-05-15,0.721,0.216,177.918,0.0472,0.0119,0,0.548,164683,-4.466,0.594,1,8
29,4,4maOSsMfCcqM9tLk4lZWUP,Cringe,4maOSsMfCcqM9tLk4lZWUP,30MM5jWpUmOxtTNd9Ey5LZ,Unforgettable,Thomas Rhett,68,2017-09-08,0.75,0.0849,130.077,0.0314,0.0303,0.000132,0.661,157080,-5.497,0.828,1,7
30,4,4maOSsMfCcqM9tLk4lZWUP,Cringe,4maOSsMfCcqM9tLk4lZWUP,6fQcqEcXfnY0L6VwS0c3gT,Cheerleader (Felix Jaehn Remix) - Radio Edit,OMI,62,2014-12-02,0.576,0.0656,118.04,0.0372,0.184,0.029,0.827,180021,-7.774,0.41,1,4
31,4,4maOSsMfCcqM9tLk4lZWUP,Cringe,4maOSsMfCcqM9tLk4lZWUP,6IuVmxZtP3h5wvErFpDcVR,Bedroom Floor,Liam Payne,61,2019-12-06,0.684,0.107,119.932,0.0687,0.342,6.37e-05,0.625,188234,-7.147,0.217,1,1
32,4,4maOSsMfCcqM9tLk4lZWUP,Cringe,4maOSsMfCcqM9tLk4lZWUP,4qjLvvBh5ZeKEPyShKRf06,Narcissist (feat. The 1975),No Rome,66,2018-08-28,0.682,0.085,179.969,0.113,0.218,1.53e-06,0.543,195502,-5.81,0.424,1,3
33,4,4maOSsMfCcqM9tLk4lZWUP,Cringe,4maOSsMfCcqM9tLk4lZWUP,6J6e0hfRgT1sh3MBEdzIzD,Left to Right,Marteen,51,2018-02-23,0.615,0.139,102.977,0.0379,0.0468,4.16e-06,0.829,190589,-3.78,0.841,0,5
34,4,4maOSsMfCcqM9tLk4lZWUP,Cringe,4maOSsMfCcqM9tLk4lZWUP,5H9H0i7UCmRDCZRHldbmhN,Sucker for You,Matt Terry,56,2017-10-13,0.649,0.332,95.034,0.0691,0.223,0,0.876,203680,-4.369,0.742,1,0
35,4,4maOSsMfCcqM9tLk4lZWUP,Cringe,4maOSsMfCcqM9tLk4lZWUP,5H9H0i7UCmRDCZRHldbmhN,Sucker for You,Matt Terry,56,2017-10-13,0.649,0.332,95.034,0.0691,0.223,0,0.876,203680,-4.369,0.742,1,0
36,5,3I638qCcA1cQ3RPdHeQTyM,Halsey inducing palsey,3I638qCcA1cQ3RPdHeQTyM,5k38wzpLb15YgncyWdTZE4,Him & I (with Halsey),G-Eazy,75,2017-12-15,0.731,0.308,87.908,0.0868,0.0534,0,0.589,268867,-6.343,0.191,1,2
37,5,3I638qCcA1cQ3RPdHeQTyM,Halsey inducing palsey,3I638qCcA1cQ3RPdHeQTyM,1TnUURhehaoMWKAqQtirm6,Colors,Halsey,70,2015-08-28,0.812,0.092,100.02,0.0617,0.0534,0,0.512,249500,-4.809,0.521,1,1
38,5,3I638qCcA1cQ3RPdHeQTyM,Halsey inducing palsey,3I638qCcA1cQ3RPdHeQTyM,7y9iMe8SOB6z3NoHE2OfXl,Bad At Love,Halsey,74,2017-06-02,0.751,0.0893,118.384,0.0296,0.0604,0,0.675,181279,-3.539,0.612,1,0
39,5,3I638qCcA1cQ3RPdHeQTyM,Halsey inducing palsey,3I638qCcA1cQ3RPdHeQTyM,6s8PRmROPJHlqZmu9Bbviz,Roman Holiday,Halsey,57,2015-08-28,0.836,0.105,74.473,0.0395,0.0322,2.34e-05,0.431,201549,-4.428,0.75,1,5
40,5,3I638qCcA1cQ3RPdHeQTyM,Halsey inducing palsey,3I638qCcA1cQ3RPdHeQTyM,16w8ZGVSjI4TlTLV8VimBY,Castle,Halsey,68,2015-08-28,0.571,0.0946,129.959,0.0327,0.25,0,0.626,277623,-7.461,0.164,0,7
41,5,3I638qCcA1cQ3RPdHeQTyM,Halsey inducing palsey,3I638qCcA1cQ3RPdHeQTyM,5KawlOMHjWeUjQtnuRs22c,Boy With Luv (feat. Halsey),BTS,84,2019-04-12,0.862,0.192,119.991,0.0965,0.0923,0,0.645,229773,-4.757,0.798,0,11
42,5,3I638qCcA1cQ3RPdHeQTyM,Halsey inducing palsey,3I638qCcA1cQ3RPdHeQTyM,7i2DJ88J7jQ8K7zqFX2fW8,Now Or Never,Halsey,69,2017-06-02,0.585,0.131,110.03,0.0354,0.107,1.11e-06,0.67,214802,-4.861,0.447,0,6
43,5,3I638qCcA1cQ3RPdHeQTyM,Halsey inducing palsey,3I638qCcA1cQ3RPdHeQTyM,7BKLCZ1jbUBVqRi2FVlTVw,Closer,The Chainsmokers,84,2016-07-29,0.524,0.111,95.01,0.0338,0.414,0,0.748,244960,-5.599,0.661,1,8
44,5,3I638qCcA1cQ3RPdHeQTyM,Halsey inducing palsey,3I638qCcA1cQ3RPdHeQTyM,7BKLCZ1jbUBVqRi2FVlTVw,Closer,The Chainsmokers,84,2016-07-29,0.524,0.111,95.01,0.0338,0.414,0,0.748,244960,-5.599,0.661,1,8
45,5,3I638qCcA1cQ3RPdHeQTyM,Halsey inducing palsey,3I638qCcA1cQ3RPdHeQTyM,7BKLCZ1jbUBVqRi2FVlTVw,Closer,The Chainsmokers,84,2016-07-29,0.524,0.111,95.01,0.0338,0.414,0,0.748,244960,-5.599,0.661,1,8
46,5,3I638qCcA1cQ3RPdHeQTyM,Halsey inducing palsey,3I638qCcA1cQ3RPdHeQTyM,2IO7yf562c1zLzpanal1DT,Gasoline,Halsey,73,2015-08-28,0.58,0.129,119.997,0.0399,0.223,0,0.731,199593,-7.328,0.319,0,10
47,5,3I638qCcA1cQ3RPdHeQTyM,Halsey inducing palsey,3I638qCcA1cQ3RPdHeQTyM,7ozvM98YyrdyOBh1lItVHc,clementine,Halsey,58,2019-09-29,0.437,0.106,143.263,0.162,0.885,0,0.533,234411,-7.659,0.48,0,3
48,5,3I638qCcA1cQ3RPdHeQTyM,Halsey inducing palsey,3I638qCcA1cQ3RPdHeQTyM,0d2iYfpKoM0QCKvcLCkBao,Eastside (with Halsey & Khalid),benny blanco,80,2018-07-12,0.68,0.116,89.391,0.321,0.555,0,0.56,173800,-7.648,0.319,0,6
49,5,3I638qCcA1cQ3RPdHeQTyM,Halsey inducing palsey,3I638qCcA1cQ3RPdHeQTyM,6V9fHiv84WlVTg7CSnIVY2,Graveyard,Halsey,11,2019-09-13,0.583,0.181,92.043,0.0747,0.231,4.48e-05,0.667,181806,-5.127,0.187,0,11
50,5,3I638qCcA1cQ3RPdHeQTyM,Halsey inducing palsey,3I638qCcA1cQ3RPdHeQTyM,5p7ujcrUXASCNwRaWNHR1C,Without Me,Halsey,83,2018-10-04,0.488,0.0936,136.041,0.0705,0.297,9.11e-06,0.752,201661,-7.05,0.533,1,6
