,artistName,trackName,msPlayed,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,time_signature
224,The Pussycat Dolls,Don't Cha,348368,2020-06-02 15:31:00,0.532,0.869,11.0,-5.094,1.0,0.172,0.157,0.00508,0.136,0.422,159.803,1i1fxkWeaMmKEB4T7zqbzK,4.0
225,Fanny Lu,Celos,114776,2020-06-02 15:33:00,0.746,0.703,4.0,-4.179,0.0,0.107,0.352,0.0,0.331,0.667,166.043,33zcmmElV1YbRZe57biUjg,4.0
228,Britney Spears,Stronger,1443,2020-06-02 15:38:00,0.617,0.717,10.0,-7.858,0.0,0.153,0.00564,0.0,0.408,0.49,103.992,4fzsfWzRhPawzqhX8Qt9F3,4.0
230,Daddy Yankee,Dura,198126,2020-06-03 03:48:00,0.783,0.84,1.0,-3.416,1.0,0.051,0.174,0.0,0.412,0.838,95.002,1nUbHaoFqwoNw3p6TiDAoi,4.0
231,Prince Royce,Back It Up (feat. Jennifer Lopez & Pitbull) - Video Version,200920,2020-06-03 03:51:00,0.724,0.78,1.0,-6.772,1.0,0.0803,0.139,0.0,0.0371,0.771,104.024,6Y0mJNAcx8CDBOhSy6icFP,4.0
237,Natalie Taylor,Surrender - Martin Jensen Remix,195483,2020-06-03 12:07:00,0.678,0.579,8.0,-7.174,1.0,0.0313,0.0652,0.000178,0.109,0.326,124.035,57YMEPQhEy5F5Q715mW0n8,4.0
241,Robin Schulz,Heatwave (feat. Akon),91910,2020-06-03 15:31:00,0.702,0.82,7.0,-4.323,0.0,0.063,0.196,0.0,0.156,0.52,107.936,2KMJ5CoxY4ECG9TZyNWmpv,4.0
276,Alex Aiono,One Dance/Hasta El Amanecer - Mashup,155560,2020-06-04 10:19:00,0.881,0.54,6.0,-8.065,0.0,0.0844,0.0593,0.0,0.113,0.886,104.966,6WS2Wb3H4gXTvJ0ntagxqu,4.0
285,Maroon 5,Moves Like Jagger,202640,2020-06-04 10:52:00,0.722,0.761,11.0,-4.459,0.0,0.0475,0.0117,0.0,0.315,0.624,128.044,3TahdwXB4gJRWVAI00Ejqa,4.0
286,Arijit Singh,Sooraj Dooba Hain,264854,2020-06-04 10:57:00,0.616,0.75,2.0,-4.629,1.0,0.0594,0.172,0.0,0.137,0.434,128.051,48pyUxg9RYuwie5M9R7qRn,4.0
299,Imran Khan,"Let's Celebrate (From ""Tevar"")",191712,2020-06-04 11:50:00,0.819,0.89,4.0,-4.572,0.0,0.0473,0.022,0.000153,0.0839,0.936,123.012,3H9ARC0jIS0mty84a43X37,4.0
308,Boyce Avenue,Tears In Heaven,280652,2020-06-04 15:18:00,0.695,0.336,9.0,-12.999,1.0,0.0313,0.8,0.00264,0.701,0.422,79.109,612VcBshQcy4mpB2utGc3H,4.0
309,John Mayer,Slow Dancing in a Burning Room,242000,2020-06-04 15:23:00,0.668,0.361,1.0,-8.69,0.0,0.0273,0.573,0.00506,0.0805,0.288,134.15,2jdAk8ATWIL3dwT47XpRfu,5.0
310,Sting,Shape Of My Heart,279226,2020-06-04 15:28:00,0.575,0.786,9.0,-4.353,1.0,0.0296,0.252,0.0,0.159,0.518,96.102,35o9a4iAfLl5jRmqMX9c1D,4.0
311,John Denver,"Take Me Home, Country Roads",150004,2020-06-04 15:30:00,0.462,0.395,9.0,-9.376,1.0,0.0264,0.758,0.0,0.121,0.625,82.259,1YYhDizHx7PnDhAhko6cDS,4.0
320,Mariana BO,Red Eagle,41826,2020-06-05 05:31:00,0.611,0.881,2.0,-5.003,0.0,0.054,0.0273,1.13e-05,0.0606,0.406,137.986,4QCKZtXp4l5NyelhtbOUjC,4.0
329,ItaloBrothers,Ocean Breeze,190796,2020-06-05 05:59:00,0.77,0.784,6.0,-4.339,0.0,0.176,0.103,0.0,0.105,0.626,119.043,63NvtfDogYya9xiEjPLzzz,4.0
335,Sick Individuals,Humans (Let Me Love You),161048,2020-06-05 10:45:00,0.584,0.835,7.0,-3.663,1.0,0.0584,0.21,1.49e-06,0.126,0.371,128.106,1IB1GFSTgmeecjscmAJ0lW,4.0
350,R.I.O.,Komodo (Hard Nights) - FSDW Remix,172717,2020-06-05 14:44:00,0.628,0.798,11.0,-2.95,0.0,0.0324,0.0312,0.00107,0.107,0.402,125.979,13p25R3V9A2v2nJnLwNKS8,4.0
355,Mike Williams,Day Or Night,174374,2020-06-06 05:56:00,0.619,0.881,5.0,-4.087,0.0,0.0335,0.00826,0.0941,0.0995,0.534,128.036,2Y3P9IFAeNGH9qTZDp9N6W,4.0
357,Marnik,Alone (feat. Anjulie & Jeffrey Jey) - Club Mix,201044,2020-06-06 06:04:00,0.56,0.934,11.0,-2.984,1.0,0.0378,0.00457,3.11e-06,0.297,0.325,134.004,4PclDQ2lYPmIuhj4G3swK1,4.0
365,W&W,Let The Music Take Control,41071,2020-06-06 06:34:00,0.388,0.971,6.0,-2.274,0.0,0.149,0.00143,0.091,0.433,0.175,194.956,2ItO4ZVCtwEHuLL6ygajGM,3.0
366,Raaban,Try Again (feat. A7S),179552,2020-06-06 06:37:00,0.707,0.856,0.0,-3.861,0.0,0.205,0.142,0.0,0.124,0.51,126.914,745LUoE5rQZ51Tz4WnBoNp,4.0
367,Krewella,Alibi (Far Out Remix),219553,2020-06-06 06:41:00,0.602,0.758,7.0,-5.261,0.0,0.068,0.134,0.0,0.0853,0.156,99.896,144VylfhBHydi2xvqy9yw6,4.0
368,K-391,Play,167976,2020-06-06 06:44:00,0.68,0.729,5.0,-5.077,1.0,0.0475,0.612,0.0,0.224,0.446,123.97,4DpNNXFMMxQEKl7r0ykkWA,4.0
371,Axel Johansson,Do Or Die,204715,2020-06-06 06:54:00,0.536,0.623,10.0,-5.146,0.0,0.0436,0.172,0.0,0.0863,0.285,175.657,4ibYl4U7Ix076zx81cO8YY,4.0
373,Galantis,We Can Get High (with Yellow Claw),156839,2020-06-06 07:01:00,0.654,0.782,4.0,-5.179,0.0,0.0494,0.0668,0.0,0.303,0.349,150.078,3csdDTfByXZQhOYlCHQJRp,4.0
374,R3HAB,Lullaby - GATTÜSO Remix,222187,2020-06-06 07:04:00,0.494,0.639,1.0,-6.276,0.0,0.0324,0.00544,0.0,0.143,0.235,127.997,2qXvtfBUJiCGuWVGAqtWcP,4.0
377,KSHMR,Memories (feat. Sirah) - Radio Edit,185639,2020-06-06 15:49:00,0.519,0.731,8.0,-5.009,0.0,0.0504,0.0359,1.33e-05,0.784,0.301,128.066,5drBLK41GUnnWt32JPlexx,4.0
378,DVBBS,Not Going Home,195186,2020-06-06 15:52:00,0.749,0.747,6.0,-6.457,1.0,0.121,0.0938,1.17e-05,0.256,0.475,109.063,5mqjkbTgyEzxTQOArWTOs6,4.0
382,KSHMR,Lies (feat. Luciana),15853,2020-06-06 18:39:00,0.626,0.929,6.0,-4.295,0.0,0.0941,0.0659,6.7e-05,0.286,0.63,75.969,0CNObSo2AxRZS47CGz755m,4.0
402,R3HAB,Don’t Give Up On Me Now,127826,2020-06-07 06:25:00,0.689,0.705,4.0,-5.357,1.0,0.0462,0.0872,0.0,0.124,0.27,115.231,76yOifDfvrq9NruvjGfQsL,4.0
404,Unknown Artist,Unknown Track,0,2020-06-07 13:50:00,0.5,0.391,1.0,-16.691,1.0,0.0386,0.019,0.771,0.139,0.0506,126.949,4kAIL78sPF4Rh7lmZUz5hB,4.0
408,MEDUZA,Piece Of Your Heart - Alok Remix,166451,2020-06-08 06:29:00,0.797,0.86,10.0,-4.38,0.0,0.0413,0.0312,0.0137,0.334,0.192,124.033,6iW38RGqdDGOofmz2HeXLW,4.0
409,Chimarruts,Do Lado de Cá,86920,2020-06-08 06:30:00,0.628,0.46,10.0,-6.764,1.0,0.0575,0.767,0.0021,0.092,0.677,75.708,7HacxOP2pHeSv1OsraqmDA,4.0
410,Ina Wroldsen,Favela,185104,2020-06-08 06:33:00,0.777,0.812,2.0,-3.206,0.0,0.0598,0.0125,0.00233,0.0264,0.283,103.023,0pKMDhDrQExUqF6SxUpTpb,4.0
417,Vitor Kley,Adrenalizou - Le Dib Remix,32575,2020-06-08 06:46:00,0.711,0.776,9.0,-4.977,1.0,0.0446,0.165,1.51e-06,0.0481,0.624,124.09,6UpBu7o7s40j9OZ8iOrLXl,4.0
419,Alok,All The Lies - Toby Romeo Remix Edit,163000,2020-06-08 06:52:00,0.707,0.806,6.0,-4.777,1.0,0.175,0.00908,0.0,0.366,0.634,119.972,79OZF08E93H5IYW1rTLtsy,4.0
420,Gabriel Elias,Fiz Esse Som Pra Você,73679,2020-06-08 06:53:00,0.667,0.845,1.0,-8.755,0.0,0.0304,0.00967,0.0,0.411,0.966,120.002,0tVIg8CTMN7QI4x0h0gLoE,4.0
421,Lagum,Bem Melhor - KVSH Remix,7802,2020-06-08 06:54:00,0.78,0.829,11.0,-6.767,0.0,0.152,0.0188,0.000813,0.0971,0.573,124.034,76m2MiAKQvoHsgvwRDPXx5,4.0
424,OMI,Cheerleader,174190,2020-06-08 07:03:00,0.782,0.685,4.0,-6.237,1.0,0.0309,0.166,1.18e-05,0.16,0.603,118.016,7vFoFDWqTX0mHzLfrF1Cfy,4.0
436,Gryffin,Just For A Moment (feat. Iselin),213469,2020-06-08 07:48:00,0.536,0.776,1.0,-6.343,0.0,0.0485,0.0137,1.83e-05,0.269,0.414,144.037,24FFOpCA6bc5YoU2F3TKqS,4.0
439,Quintino,Can't Bring Me Down,168000,2020-06-08 07:58:00,0.696,0.793,2.0,-4.504,0.0,0.0402,0.0116,0.000783,0.0626,0.374,110.061,6MKqEvedCtQevXF4YGWaVC,4.0
442,MEDUZA,Lose Control - ChildsPlay & Badd Dimes Remix,65973,2020-06-08 08:05:00,0.627,0.768,5.0,-6.185,0.0,0.042,0.0269,0.00124,0.116,0.168,127.903,44Fy9nmj1bBh42WviVea0m,4.0
