,artistName,trackName,msPlayed,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,time_signature
29,Ed Sheeran,Beautiful People (feat. Khalid),176352,2020-05-29 13:42:00,0.64,0.648,5.0,-8.113,0.0,0.187,0.124,0.0,0.0802,0.548,92.977,4evmHXcjt3bTUHD1cvny97,4.0
30,Ellie Goulding,Hate Me (with Juice WRLD),180990,2020-05-29 13:45:00,0.657,0.768,8.0,-4.628,1.0,0.0507,0.108,0.0,0.144,0.759,75.025,6kls8cSlUyHW2BUOkDJIZE,4.0
31,Jax Jones,Harder (with Bebe Rexha),157685,2020-05-29 13:48:00,0.906,0.833,5.0,-3.027,0.0,0.0729,0.0899,0.0,0.154,0.752,104.017,5RgBnDtHKFHgtVdqabjGE3,4.0
32,Virginia To Vegas,Just Friends,154753,2020-05-29 13:50:00,0.437,0.907,4.0,-3.244,1.0,0.0959,6.63e-05,0.0,0.144,0.454,150.895,2JRwUBqfBKQCH8W09ZPosa,4.0
33,Halsey,Graveyard,175983,2020-05-29 13:53:00,0.667,0.583,11.0,-5.127,0.0,0.0747,0.231,4.48e-05,0.181,0.187,92.043,2ufmtcIFdFpuUYBPXK5f67,4.0
34,Shawn Mendes,Lost In Japan - Remix,196038,2020-05-29 14:06:00,0.706,0.855,10.0,-5.377,1.0,0.215,0.0911,0.0,0.347,0.293,107.184,575NJxNUVDqwJGdzBrlLbv,4.0
35,Alessia Cara,Scars To Your Beautiful,172831,2020-05-29 14:09:00,0.319,0.739,0.0,-5.74,1.0,0.272,0.0285,0.0,0.111,0.449,194.169,42ydLwx4i5V49RXHOozJZq,4.0
36,OneRepublic,Rescue Me,143829,2020-05-29 14:12:00,0.759,0.605,7.0,-7.737,1.0,0.0433,0.156,0.0,0.694,0.64,121.049,0mjAU3yKR1QnXnHtjGJqTM,4.0
37,Marshmello,Happier,211411,2020-05-29 14:15:00,0.687,0.792,5.0,-2.749,1.0,0.0452,0.191,0.0,0.167,0.671,100.015,2dpaYNEQHiRxtZbfNsse99,4.0
38,Bazzi,Beautiful (feat. Camila Cabello),157196,2020-05-29 14:18:00,0.638,0.717,2.0,-4.722,1.0,0.0337,0.346,0.0,0.105,0.249,100.027,4VUwkH455At9kENOfzTqmF,4.0
