,name,endTime,artistName,trackName,msPlayed,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
3535,Out Of Love,2020-04-21 05:06,Alessia Cara,Out Of Love,227693,2020-04-21 05:06:00,0.492,0.267,7,-9.25,1,0.0336,0.8,0.0,0.249,0.137,117.679,audio_features,4WzhjxvLP95y7AMDy0Atwb,spotify:track:4WzhjxvLP95y7AMDy0Atwb,https://api.spotify.com/v1/tracks/4WzhjxvLP95y7AMDy0Atwb,https://api.spotify.com/v1/audio-analysis/4WzhjxvLP95y7AMDy0Atwb,227693,3
3536,Collide,2020-04-21 05:10,Jake Miller,Collide,215586,2020-04-21 05:10:00,0.582,0.253,10,-11.43,1,0.0259,0.827,2.95e-05,0.091,0.294,90.184,audio_features,5rwq6R0Uq0BngM3rdmCeNg,spotify:track:5rwq6R0Uq0BngM3rdmCeNg,https://api.spotify.com/v1/tracks/5rwq6R0Uq0BngM3rdmCeNg,https://api.spotify.com/v1/audio-analysis/5rwq6R0Uq0BngM3rdmCeNg,277000,4
3537,WHO DO U LOVE?,2020-04-21 05:11,Monsta X,WHO DO U LOVE?,110447,2020-04-21 05:11:00,0.782,0.637,10,-5.63,0,0.264,0.28,0.0,0.114,0.389,101.989,audio_features,6YKCEtfZXXyionWJPtT5jb,spotify:track:6YKCEtfZXXyionWJPtT5jb,https://api.spotify.com/v1/tracks/6YKCEtfZXXyionWJPtT5jb,https://api.spotify.com/v1/audio-analysis/6YKCEtfZXXyionWJPtT5jb,189035,4
3538,WHO DO U LOVE?,2020-04-21 06:40,Monsta X,WHO DO U LOVE?,78588,2020-04-21 06:40:00,0.782,0.637,10,-5.63,0,0.264,0.28,0.0,0.114,0.389,101.989,audio_features,6YKCEtfZXXyionWJPtT5jb,spotify:track:6YKCEtfZXXyionWJPtT5jb,https://api.spotify.com/v1/tracks/6YKCEtfZXXyionWJPtT5jb,https://api.spotify.com/v1/audio-analysis/6YKCEtfZXXyionWJPtT5jb,189035,4
3539,"Khalifa (From ""Lekar Hum Deewana Dil"")",2020-04-21 06:45,A.R. Rahman,"Khalifa (From ""Lekar Hum Deewana Dil"")",303597,2020-04-21 06:45:00,0.696,0.884,7,-5.133,1,0.0529,0.0209,2.24e-05,0.108,0.614,120.02,audio_features,3CqoLE1NIm6fTc4kNncAnE,spotify:track:3CqoLE1NIm6fTc4kNncAnE,https://api.spotify.com/v1/tracks/3CqoLE1NIm6fTc4kNncAnE,https://api.spotify.com/v1/audio-analysis/3CqoLE1NIm6fTc4kNncAnE,303598,4
3540,Rise,2020-04-21 06:48,Jonas Blue,Rise,194407,2020-04-21 06:48:00,0.687,0.785,1,-4.65,1,0.0333,0.327,0.0,0.203,0.655,106.046,audio_features,5ZSl6gDoV6bPPxzmLeneV9,spotify:track:5ZSl6gDoV6bPPxzmLeneV9,https://api.spotify.com/v1/tracks/5ZSl6gDoV6bPPxzmLeneV9,https://api.spotify.com/v1/audio-analysis/5ZSl6gDoV6bPPxzmLeneV9,194408,4
3541,Woman Like Me (feat. Nicki Minaj),2020-04-21 06:52,Little Mix,Woman Like Me (feat. Nicki Minaj),229720,2020-04-21 06:52:00,0.754,0.854,5,-3.449,0,0.0608,0.177,0.0,0.0808,0.8,75.002,audio_features,222B3aljXx6fFwKmFjuBED,spotify:track:222B3aljXx6fFwKmFjuBED,https://api.spotify.com/v1/tracks/222B3aljXx6fFwKmFjuBED,https://api.spotify.com/v1/audio-analysis/222B3aljXx6fFwKmFjuBED,229720,4
3542,Play It Cool,2020-04-21 06:55,Steve Aoki,Play It Cool,169812,2020-04-21 06:55:00,0.812,0.805,9,-3.83,0,0.243,0.00677,0.0,0.0833,0.568,119.958,audio_features,1gdLUGdyYpXcckmzP1rTUm,spotify:track:1gdLUGdyYpXcckmzP1rTUm,https://api.spotify.com/v1/tracks/1gdLUGdyYpXcckmzP1rTUm,https://api.spotify.com/v1/audio-analysis/1gdLUGdyYpXcckmzP1rTUm,169812,4
3543,Myself,2020-04-21 07:02,Medha Sahi,Myself,204750,2020-04-21 07:02:00,0.745,0.561,9,-5.513,0,0.072,0.465,1.12e-06,0.0338,0.902,195.918,audio_features,5YLHLxoZsodDWjqSgjhBf3,spotify:track:5YLHLxoZsodDWjqSgjhBf3,https://api.spotify.com/v1/tracks/5YLHLxoZsodDWjqSgjhBf3,https://api.spotify.com/v1/audio-analysis/5YLHLxoZsodDWjqSgjhBf3,167553,4
3544,Rumors,2020-04-21 07:08,NEFFEX,Rumors,247607,2020-04-21 07:08:00,0.673,0.706,8,-8.4,1,0.115,0.0603,2.75e-06,0.426,0.516,74.972,audio_features,7wOqBOryVGD3nqDUihDSwL,spotify:track:7wOqBOryVGD3nqDUihDSwL,https://api.spotify.com/v1/tracks/7wOqBOryVGD3nqDUihDSwL,https://api.spotify.com/v1/audio-analysis/7wOqBOryVGD3nqDUihDSwL,247608,4
3545,No One Compares To You,2020-04-21 07:11,Jack & Jack,No One Compares To You,182920,2020-04-21 07:11:00,0.7,0.748,1,-6.044,1,0.0434,0.127,0.0,0.0941,0.631,111.939,audio_features,4cZ3UsiKd1kUQIaq4BFIj2,spotify:track:4cZ3UsiKd1kUQIaq4BFIj2,https://api.spotify.com/v1/tracks/4cZ3UsiKd1kUQIaq4BFIj2,https://api.spotify.com/v1/audio-analysis/4cZ3UsiKd1kUQIaq4BFIj2,182920,4
3546,Rain,2020-04-21 07:13,The Script,Rain,74734,2020-04-21 07:13:00,0.672,0.855,9,-3.764,1,0.0397,0.021,0.0,0.323,0.646,123.056,audio_features,24ySl2hOPGCDcxBxFIqWBu,spotify:track:24ySl2hOPGCDcxBxFIqWBu,https://api.spotify.com/v1/tracks/24ySl2hOPGCDcxBxFIqWBu,https://api.spotify.com/v1/audio-analysis/24ySl2hOPGCDcxBxFIqWBu,182200,4
3547,Rain,2020-04-21 17:05,The Script,Rain,134613,2020-04-21 17:05:00,0.672,0.855,9,-3.764,1,0.0397,0.021,0.0,0.323,0.646,123.056,audio_features,24ySl2hOPGCDcxBxFIqWBu,spotify:track:24ySl2hOPGCDcxBxFIqWBu,https://api.spotify.com/v1/tracks/24ySl2hOPGCDcxBxFIqWBu,https://api.spotify.com/v1/audio-analysis/24ySl2hOPGCDcxBxFIqWBu,182200,4
