,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Overload - Acoustic Version,0.511,0.563,5,-7.717,0,0.031,0.478,0,0.264,0.424,122.044,audio_features,3iYdG6OoJUhby3vxlSFd4J,spotify:track:3iYdG6OoJUhby3vxlSFd4J,https://api.spotify.com/v1/tracks/3iYdG6OoJUhby3vxlSFd4J,https://api.spotify.com/v1/audio-analysis/3iYdG6OoJUhby3vxlSFd4J,160814,4
El Mismo Sol,0.715,0.862,8,-5.634,0,0.0528,0.0463,6.96e-06,0.0759,0.949,112.998,audio_features,7xDT7yowPTECPfHhGa8UJt,spotify:track:7xDT7yowPTECPfHhGa8UJt,https://api.spotify.com/v1/tracks/7xDT7yowPTECPfHhGa8UJt,https://api.spotify.com/v1/audio-analysis/7xDT7yowPTECPfHhGa8UJt,188093,4
More Than You Know,0.646,0.741,5,-4.973,0,0.034,0.0275,0,0.312,0.571,123.077,audio_features,6h5PAsRni4IRlxWr6uDPTP,spotify:track:6h5PAsRni4IRlxWr6uDPTP,https://api.spotify.com/v1/tracks/6h5PAsRni4IRlxWr6uDPTP,https://api.spotify.com/v1/audio-analysis/6h5PAsRni4IRlxWr6uDPTP,203000,4
This Feeling,0.575,0.571,1,-7.906,1,0.0439,0.0558,0,0.0912,0.449,105.049,audio_features,4NBTZtAt1F13VvlSKe6KTl,spotify:track:4NBTZtAt1F13VvlSKe6KTl,https://api.spotify.com/v1/tracks/4NBTZtAt1F13VvlSKe6KTl,https://api.spotify.com/v1/audio-analysis/4NBTZtAt1F13VvlSKe6KTl,197947,4
Black Gasoline [Provi Remix],0.758,0.803,0,-5.466,0,0.0449,0.115,9.47e-06,0.291,0.769,122.0,audio_features,1qsexgIQui6hZ8tAGoEg4G,spotify:track:1qsexgIQui6hZ8tAGoEg4G,https://api.spotify.com/v1/tracks/1qsexgIQui6hZ8tAGoEg4G,https://api.spotify.com/v1/audio-analysis/1qsexgIQui6hZ8tAGoEg4G,190820,4
Intentions (feat. Quavo),0.806,0.546,9,-6.637,1,0.0575,0.3,0,0.102,0.874,147.986,audio_features,4umIPjkehX1r7uhmGvXiSV,spotify:track:4umIPjkehX1r7uhmGvXiSV,https://api.spotify.com/v1/tracks/4umIPjkehX1r7uhmGvXiSV,https://api.spotify.com/v1/audio-analysis/4umIPjkehX1r7uhmGvXiSV,212867,4
Used To Love (with Dean Lewis),0.651,0.693,4,-4.722,1,0.0375,0.458,0,0.335,0.392,118.97,audio_features,7pWK1kMgHy5lNNiIfuRbkP,spotify:track:7pWK1kMgHy5lNNiIfuRbkP,https://api.spotify.com/v1/tracks/7pWK1kMgHy5lNNiIfuRbkP,https://api.spotify.com/v1/audio-analysis/7pWK1kMgHy5lNNiIfuRbkP,236765,4
Love Again,0.495,0.894,2,-4.814,0,0.0441,0.00453,0.000596,0.103,0.213,126.03,audio_features,5TbzAWWc5eJaANpA9kfGCd,spotify:track:5TbzAWWc5eJaANpA9kfGCd,https://api.spotify.com/v1/tracks/5TbzAWWc5eJaANpA9kfGCd,https://api.spotify.com/v1/audio-analysis/5TbzAWWc5eJaANpA9kfGCd,239894,4
Closure,0.522,0.387,5,-9.376,1,0.0446,0.0749,0.00705,0.126,0.22,151.801,audio_features,05l7cyJvL9OTmwnRTFjYQ9,spotify:track:05l7cyJvL9OTmwnRTFjYQ9,https://api.spotify.com/v1/tracks/05l7cyJvL9OTmwnRTFjYQ9,https://api.spotify.com/v1/audio-analysis/05l7cyJvL9OTmwnRTFjYQ9,191581,4
Rain On Me (with Ariana Grande),0.672,0.855,9,-3.764,1,0.0397,0.021,0,0.323,0.646,123.056,audio_features,24ySl2hOPGCDcxBxFIqWBu,spotify:track:24ySl2hOPGCDcxBxFIqWBu,https://api.spotify.com/v1/tracks/24ySl2hOPGCDcxBxFIqWBu,https://api.spotify.com/v1/audio-analysis/24ySl2hOPGCDcxBxFIqWBu,182200,4
Make Me Yours,0.577,0.615,7,-6.084,0,0.0395,0.0124,1.33e-06,0.124,0.174,127.904,audio_features,3G2O60rq5a77GEIwK1mVmh,spotify:track:3G2O60rq5a77GEIwK1mVmh,https://api.spotify.com/v1/tracks/3G2O60rq5a77GEIwK1mVmh,https://api.spotify.com/v1/audio-analysis/3G2O60rq5a77GEIwK1mVmh,195239,4
Gasoline,0.731,0.58,10,-7.328,0,0.0399,0.223,0,0.129,0.319,119.997,audio_features,2IO7yf562c1zLzpanal1DT,spotify:track:2IO7yf562c1zLzpanal1DT,https://api.spotify.com/v1/tracks/2IO7yf562c1zLzpanal1DT,https://api.spotify.com/v1/audio-analysis/2IO7yf562c1zLzpanal1DT,199593,4
Cat & Dog,0.843,0.794,8,-3.013,1,0.147,0.0668,0.000223,0.104,0.319,160.001,audio_features,5cadLqAgl7Y9zX3lRWdsPK,spotify:track:5cadLqAgl7Y9zX3lRWdsPK,https://api.spotify.com/v1/tracks/5cadLqAgl7Y9zX3lRWdsPK,https://api.spotify.com/v1/audio-analysis/5cadLqAgl7Y9zX3lRWdsPK,187573,4
Hold Me While You Wait - Steve Void Remix,0.675,0.76,11,-7.037,1,0.0434,0.104,0,0.33,0.468,124.933,audio_features,5dy3WUywjZcalTno1io8TQ,spotify:track:5dy3WUywjZcalTno1io8TQ,https://api.spotify.com/v1/tracks/5dy3WUywjZcalTno1io8TQ,https://api.spotify.com/v1/audio-analysis/5dy3WUywjZcalTno1io8TQ,172800,4
All You Need To Know (feat. Calle Lehmann),0.513,0.788,0,-4.629,1,0.0364,0.00968,0,0.11,0.234,139.987,audio_features,4Gcv5SsxnQWpmOnUI19EJk,spotify:track:4Gcv5SsxnQWpmOnUI19EJk,https://api.spotify.com/v1/tracks/4Gcv5SsxnQWpmOnUI19EJk,https://api.spotify.com/v1/audio-analysis/4Gcv5SsxnQWpmOnUI19EJk,238459,4
Until We Meet Again,0.422,0.518,8,-5.862,1,0.0646,0.339,0,0.101,0.29,77.378,audio_features,6aXgxeYA03veaPyHHZQaj3,spotify:track:6aXgxeYA03veaPyHHZQaj3,https://api.spotify.com/v1/tracks/6aXgxeYA03veaPyHHZQaj3,https://api.spotify.com/v1/audio-analysis/6aXgxeYA03veaPyHHZQaj3,197540,4
Illegal Weapon,0.805,0.919,1,-1.294,1,0.0938,0.101,0.00343,0.0598,0.494,94.993,audio_features,5fXslGZPI5Cco6PKHzlSL3,spotify:track:5fXslGZPI5Cco6PKHzlSL3,https://api.spotify.com/v1/tracks/5fXslGZPI5Cco6PKHzlSL3,https://api.spotify.com/v1/audio-analysis/5fXslGZPI5Cco6PKHzlSL3,188606,4
Wake Up Alone,0.643,0.52,9,-5.968,0,0.0334,0.0102,0,0.11,0.23,75.168,audio_features,0dj1CtyRxZ4bnIT4Q20jNT,spotify:track:0dj1CtyRxZ4bnIT4Q20jNT,https://api.spotify.com/v1/tracks/0dj1CtyRxZ4bnIT4Q20jNT,https://api.spotify.com/v1/audio-analysis/0dj1CtyRxZ4bnIT4Q20jNT,215720,4
Purple Hat,0.777,0.744,9,-7.42,1,0.204,0.331,0.0073,0.088,0.654,94.019,audio_features,0bGH7ezs7WdDwpqnsvGf1z,spotify:track:0bGH7ezs7WdDwpqnsvGf1z,https://api.spotify.com/v1/tracks/0bGH7ezs7WdDwpqnsvGf1z,https://api.spotify.com/v1/audio-analysis/0bGH7ezs7WdDwpqnsvGf1z,178369,4
Dance Monkey,0.824,0.588,6,-6.4,0,0.0924,0.692,0.000104,0.149,0.513,98.027,audio_features,2XU0oxnq2qxCpomAAuJY8K,spotify:track:2XU0oxnq2qxCpomAAuJY8K,https://api.spotify.com/v1/tracks/2XU0oxnq2qxCpomAAuJY8K,https://api.spotify.com/v1/audio-analysis/2XU0oxnq2qxCpomAAuJY8K,209438,4
"10,000 Hours (with Justin Bieber)",0.654,0.63,10,-4.644,1,0.0259,0.153,0,0.111,0.43,89.991,audio_features,2wrJq5XKLnmhRXHIAf9xBa,spotify:track:2wrJq5XKLnmhRXHIAf9xBa,https://api.spotify.com/v1/tracks/2wrJq5XKLnmhRXHIAf9xBa,https://api.spotify.com/v1/audio-analysis/2wrJq5XKLnmhRXHIAf9xBa,167693,4
