,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Burnin' Up,0.627,0.706,10,-3.201,0,0.0597,0.00227,0,0.122,0.536,99.93,audio_features,4z9gBZQjGS4QLb4LOvmeuA,spotify:track:4z9gBZQjGS4QLb4LOvmeuA,https://api.spotify.com/v1/tracks/4z9gBZQjGS4QLb4LOvmeuA,https://api.spotify.com/v1/audio-analysis/4z9gBZQjGS4QLb4LOvmeuA,203352,4
Glad You Came,0.722,0.851,7,-3.873,0,0.0639,0.0319,0,0.108,0.452,126.885,audio_features,5yDL13y5giogKs2fSNf7sj,spotify:track:5yDL13y5giogKs2fSNf7sj,https://api.spotify.com/v1/tracks/5yDL13y5giogKs2fSNf7sj,https://api.spotify.com/v1/audio-analysis/5yDL13y5giogKs2fSNf7sj,197936,4
I Wanna Know (feat. Bea Miller),0.661,0.725,6,-4.859,1,0.0563,0.0253,0,0.123,0.605,119.927,audio_features,18W92Zm1KjLCbUIszOhpkD,spotify:track:18W92Zm1KjLCbUIszOhpkD,https://api.spotify.com/v1/tracks/18W92Zm1KjLCbUIszOhpkD,https://api.spotify.com/v1/audio-analysis/18W92Zm1KjLCbUIszOhpkD,197939,4
"fuck, i'm lonely",0.806,0.558,9,-6.46,1,0.0683,0.482,0,0.0618,0.678,95.016,audio_features,09PGubKAMryhOWv1LHpCYz,spotify:track:09PGubKAMryhOWv1LHpCYz,https://api.spotify.com/v1/tracks/09PGubKAMryhOWv1LHpCYz,https://api.spotify.com/v1/audio-analysis/09PGubKAMryhOWv1LHpCYz,198973,4
Without You (feat. Sandro Cavazza),0.662,0.858,2,-4.844,1,0.0428,0.00163,0,0.0456,0.295,133.993,audio_features,6Pgkp4qUoTmJIPn7ReaGxL,spotify:track:6Pgkp4qUoTmJIPn7ReaGxL,https://api.spotify.com/v1/tracks/6Pgkp4qUoTmJIPn7ReaGxL,https://api.spotify.com/v1/audio-analysis/6Pgkp4qUoTmJIPn7ReaGxL,181673,4
Young & Foolish,0.438,0.0172,9,-23.66,1,0.0384,0.973,0.557,0.0815,0.136,100.989,audio_features,1WygPWqmNs4s2fxtjmtI3O,spotify:track:1WygPWqmNs4s2fxtjmtI3O,https://api.spotify.com/v1/tracks/1WygPWqmNs4s2fxtjmtI3O,https://api.spotify.com/v1/audio-analysis/1WygPWqmNs4s2fxtjmtI3O,354667,4
"Tere Naal Nachna (From ""Nawabzaade"")",0.912,0.677,0,-4.212,1,0.0713,0.193,0,0.0939,0.94,115.061,audio_features,5DIt4eq2D6CZjX1s5jwrnP,spotify:track:5DIt4eq2D6CZjX1s5jwrnP,https://api.spotify.com/v1/tracks/5DIt4eq2D6CZjX1s5jwrnP,https://api.spotify.com/v1/audio-analysis/5DIt4eq2D6CZjX1s5jwrnP,166615,4
Body Say,0.628,0.74,5,-4.836,0,0.0358,0.00415,0,0.277,0.257,86.983,audio_features,7xrA11O07xo57Bbg6p4hck,spotify:track:7xrA11O07xo57Bbg6p4hck,https://api.spotify.com/v1/tracks/7xrA11O07xo57Bbg6p4hck,https://api.spotify.com/v1/audio-analysis/7xrA11O07xo57Bbg6p4hck,193893,4
Wake Up Call,0.642,0.669,6,-5.774,0,0.0486,0.318,0,0.119,0.227,156.084,audio_features,2L9U729EooQi0PGlZPZiOz,spotify:track:2L9U729EooQi0PGlZPZiOz,https://api.spotify.com/v1/tracks/2L9U729EooQi0PGlZPZiOz,https://api.spotify.com/v1/audio-analysis/2L9U729EooQi0PGlZPZiOz,175067,4
Over You,0.669,0.574,4,-6.442,0,0.0286,0.0175,0.00294,0.146,0.273,120.013,audio_features,4jvjzW7Hm0yK4LvvE0Paz9,spotify:track:4jvjzW7Hm0yK4LvvE0Paz9,https://api.spotify.com/v1/tracks/4jvjzW7Hm0yK4LvvE0Paz9,https://api.spotify.com/v1/audio-analysis/4jvjzW7Hm0yK4LvvE0Paz9,196400,4
Devil In Me,0.458,0.733,2,-5.7,0,0.0711,0.00255,0.147,0.595,0.535,62.469,audio_features,5VXfsQX2NYS9USmDgVyys0,spotify:track:5VXfsQX2NYS9USmDgVyys0,https://api.spotify.com/v1/tracks/5VXfsQX2NYS9USmDgVyys0,https://api.spotify.com/v1/audio-analysis/5VXfsQX2NYS9USmDgVyys0,249600,4
I Don't Do Love Anymore,0.592,0.234,2,-8.82,1,0.0281,0.918,5.64e-06,0.14,0.354,129.504,audio_features,65SgMuyu8DvMBzLcE1D0sP,spotify:track:65SgMuyu8DvMBzLcE1D0sP,https://api.spotify.com/v1/tracks/65SgMuyu8DvMBzLcE1D0sP,https://api.spotify.com/v1/audio-analysis/65SgMuyu8DvMBzLcE1D0sP,166615,4
Hot Shower,0.899,0.509,9,-8.04,1,0.387,0.00157,0,0.0573,0.599,150.001,audio_features,00ko9WaS4jOX1kEk3gvHjf,spotify:track:00ko9WaS4jOX1kEk3gvHjf,https://api.spotify.com/v1/tracks/00ko9WaS4jOX1kEk3gvHjf,https://api.spotify.com/v1/audio-analysis/00ko9WaS4jOX1kEk3gvHjf,225924,4
Just Got Paid,0.732,0.922,6,-1.829,0,0.0975,0.0348,0,0.146,0.589,120.033,audio_features,0v3BMLcwUmAwyqJaf5997o,spotify:track:0v3BMLcwUmAwyqJaf5997o,https://api.spotify.com/v1/tracks/0v3BMLcwUmAwyqJaf5997o,https://api.spotify.com/v1/audio-analysis/0v3BMLcwUmAwyqJaf5997o,218250,4
Leja Re,0.791,0.761,1,-4.414,1,0.06,0.558,0,0.107,0.449,100.031,audio_features,68iBMrMRc1rg4eAxJbvxch,spotify:track:68iBMrMRc1rg4eAxJbvxch,https://api.spotify.com/v1/tracks/68iBMrMRc1rg4eAxJbvxch,https://api.spotify.com/v1/audio-analysis/68iBMrMRc1rg4eAxJbvxch,205975,4
sadder badder cooler,0.688,0.385,11,-6.878,1,0.241,0.131,4.51e-05,0.0947,0.435,148.012,audio_features,0T5eWUavIN647AcUFXfZve,spotify:track:0T5eWUavIN647AcUFXfZve,https://api.spotify.com/v1/tracks/0T5eWUavIN647AcUFXfZve,https://api.spotify.com/v1/audio-analysis/0T5eWUavIN647AcUFXfZve,171248,4
Real Friends,0.701,0.512,0,-6.869,0,0.0969,0.235,5.07e-06,0.135,0.663,91.947,audio_features,5vnpANH92iEajvGwE2oQ6r,spotify:track:5vnpANH92iEajvGwE2oQ6r,https://api.spotify.com/v1/tracks/5vnpANH92iEajvGwE2oQ6r,https://api.spotify.com/v1/audio-analysis/5vnpANH92iEajvGwE2oQ6r,223583,4
"Morni Banke (From ""Badhaai Ho"")",0.816,0.922,11,-2.963,0,0.149,0.178,0,0.373,0.887,95.006,audio_features,2Wu9PNpLUCBl3W1GaPqkhl,spotify:track:2Wu9PNpLUCBl3W1GaPqkhl,https://api.spotify.com/v1/tracks/2Wu9PNpLUCBl3W1GaPqkhl,https://api.spotify.com/v1/audio-analysis/2Wu9PNpLUCBl3W1GaPqkhl,198026,4
Bala - Original Mix,0.893,0.639,7,-5.93,1,0.204,0.267,0.0743,0.129,0.561,100.019,audio_features,5nSH1TJNhEoagTneTmvqPG,spotify:track:5nSH1TJNhEoagTneTmvqPG,https://api.spotify.com/v1/tracks/5nSH1TJNhEoagTneTmvqPG,https://api.spotify.com/v1/audio-analysis/5nSH1TJNhEoagTneTmvqPG,214927,4
Tonight (I Wish I Was Your Boy),0.478,0.456,7,-6.844,1,0.0529,0.122,1.98e-05,0.214,0.268,171.9,audio_features,7DmTaJoM7L020qm3egqNsM,spotify:track:7DmTaJoM7L020qm3egqNsM,https://api.spotify.com/v1/tracks/7DmTaJoM7L020qm3egqNsM,https://api.spotify.com/v1/audio-analysis/7DmTaJoM7L020qm3egqNsM,247265,4
Dura,0.783,0.84,1,-3.416,1,0.051,0.174,0,0.412,0.839,95.001,audio_features,6KuqAtoeVzxAYOaMveLNpH,spotify:track:6KuqAtoeVzxAYOaMveLNpH,https://api.spotify.com/v1/tracks/6KuqAtoeVzxAYOaMveLNpH,https://api.spotify.com/v1/audio-analysis/6KuqAtoeVzxAYOaMveLNpH,200480,4
Love Me Less (feat. Kim Petras),0.743,0.847,11,-2.319,0,0.093,0.0685,0,0.311,0.669,145.044,audio_features,3BaqaNqlr2BAOgtmamDqSV,spotify:track:3BaqaNqlr2BAOgtmamDqSV,https://api.spotify.com/v1/tracks/3BaqaNqlr2BAOgtmamDqSV,https://api.spotify.com/v1/audio-analysis/3BaqaNqlr2BAOgtmamDqSV,177670,4
Ziddi Dil,0.666,0.833,11,-7.48,0,0.0451,0.0141,8.12e-06,0.111,0.541,99.007,audio_features,0mACGvgvCcwjfJCPFLeabh,spotify:track:0mACGvgvCcwjfJCPFLeabh,https://api.spotify.com/v1/tracks/0mACGvgvCcwjfJCPFLeabh,https://api.spotify.com/v1/audio-analysis/0mACGvgvCcwjfJCPFLeabh,286093,4
Passionfruit & Loyalty,0.763,0.512,0,-8.174,1,0.0729,0.579,0,0.103,0.118,109.925,audio_features,0MVeo0vXePhq7HJ1ZMQ9Do,spotify:track:0MVeo0vXePhq7HJ1ZMQ9Do,https://api.spotify.com/v1/tracks/0MVeo0vXePhq7HJ1ZMQ9Do,https://api.spotify.com/v1/audio-analysis/0MVeo0vXePhq7HJ1ZMQ9Do,180720,4
she's all yours,0.573,0.662,6,-5.657,1,0.0461,0.0561,0,0.148,0.361,157.791,audio_features,50p8v7PAXUBoD5MzoZdr9s,spotify:track:50p8v7PAXUBoD5MzoZdr9s,https://api.spotify.com/v1/tracks/50p8v7PAXUBoD5MzoZdr9s,https://api.spotify.com/v1/audio-analysis/50p8v7PAXUBoD5MzoZdr9s,161947,4
I Can’t Believe,0.479,0.796,2,-4.745,1,0.187,0.0105,0.00887,0.154,0.883,119.098,audio_features,5jnHZDEQg9a6tv8Ndp277s,spotify:track:5jnHZDEQg9a6tv8Ndp277s,https://api.spotify.com/v1/tracks/5jnHZDEQg9a6tv8Ndp277s,https://api.spotify.com/v1/audio-analysis/5jnHZDEQg9a6tv8Ndp277s,146141,4
WHAT IF YOU FELL IN LOVE?,0.702,0.571,7,-7.117,1,0.0491,0.382,0,0.12,0.471,149.957,audio_features,1F8R7obiO1uGgcIoPvYL6L,spotify:track:1F8R7obiO1uGgcIoPvYL6L,https://api.spotify.com/v1/tracks/1F8R7obiO1uGgcIoPvYL6L,https://api.spotify.com/v1/audio-analysis/1F8R7obiO1uGgcIoPvYL6L,198483,4
Kamikaze,0.876,0.786,10,-4.884,0,0.306,0.0627,0,0.127,0.575,153.068,audio_features,60SdxE8apGAxMiRrpbmLY0,spotify:track:60SdxE8apGAxMiRrpbmLY0,https://api.spotify.com/v1/tracks/60SdxE8apGAxMiRrpbmLY0,https://api.spotify.com/v1/audio-analysis/60SdxE8apGAxMiRrpbmLY0,244679,4
Into You,0.623,0.734,9,-5.948,1,0.107,0.0162,1.75e-06,0.145,0.37,107.853,audio_features,7woND3TZisiEyZY6HQr0Zr,spotify:track:7woND3TZisiEyZY6HQr0Zr,https://api.spotify.com/v1/tracks/7woND3TZisiEyZY6HQr0Zr,https://api.spotify.com/v1/audio-analysis/7woND3TZisiEyZY6HQr0Zr,244453,4
Naked,0.529,0.607,6,-6.781,1,0.0574,0.104,0,0.0631,0.238,101.966,audio_features,7krbSH3rd8lhIZvuzTV3Bl,spotify:track:7krbSH3rd8lhIZvuzTV3Bl,https://api.spotify.com/v1/tracks/7krbSH3rd8lhIZvuzTV3Bl,https://api.spotify.com/v1/audio-analysis/7krbSH3rd8lhIZvuzTV3Bl,234107,4
Light It Up (with Tyga & Chris Brown),0.81,0.625,11,-3.593,0,0.071,0.0407,1.53e-06,0.118,0.598,100.019,audio_features,4Q8aDd3H6LF8t4eY7So9O8,spotify:track:4Q8aDd3H6LF8t4eY7So9O8,https://api.spotify.com/v1/tracks/4Q8aDd3H6LF8t4eY7So9O8,https://api.spotify.com/v1/audio-analysis/4Q8aDd3H6LF8t4eY7So9O8,137448,4
Ghost,0.629,0.327,11,-8.285,1,0.029,0.761,2.96e-05,0.103,0.381,74.953,audio_features,1TQXIltqoZ5XXyfCbAeSQQ,spotify:track:1TQXIltqoZ5XXyfCbAeSQQ,https://api.spotify.com/v1/tracks/1TQXIltqoZ5XXyfCbAeSQQ,https://api.spotify.com/v1/audio-analysis/1TQXIltqoZ5XXyfCbAeSQQ,197732,4
Issues - Alan Walker Remix,0.756,0.772,8,-4.379,1,0.0509,0.142,8.21e-06,0.0993,0.628,113.944,audio_features,3abKAw6reL2U3vhAe98ZsY,spotify:track:3abKAw6reL2U3vhAe98ZsY,https://api.spotify.com/v1/tracks/3abKAw6reL2U3vhAe98ZsY,https://api.spotify.com/v1/audio-analysis/3abKAw6reL2U3vhAe98ZsY,181000,4
Lola,0.774,0.573,10,-9.098,1,0.14,0.0132,0,0.145,0.4,141.885,audio_features,6hkr5ZGVOt3Z2BNGE6yqpB,spotify:track:6hkr5ZGVOt3Z2BNGE6yqpB,https://api.spotify.com/v1/tracks/6hkr5ZGVOt3Z2BNGE6yqpB,https://api.spotify.com/v1/audio-analysis/6hkr5ZGVOt3Z2BNGE6yqpB,232123,4
Blind Love,0.266,0.74,10,-7.972,0,0.0788,0.0513,0.00426,0.162,0.5,48.578,audio_features,1kBM7AURqQTIXFePNVpEwP,spotify:track:1kBM7AURqQTIXFePNVpEwP,https://api.spotify.com/v1/tracks/1kBM7AURqQTIXFePNVpEwP,https://api.spotify.com/v1/audio-analysis/1kBM7AURqQTIXFePNVpEwP,198613,4
85%,0.574,0.651,7,-7.585,1,0.046,0.346,0,0.149,0.368,140.017,audio_features,5teOR8KU4XNWY2WlVUDiIR,spotify:track:5teOR8KU4XNWY2WlVUDiIR,https://api.spotify.com/v1/tracks/5teOR8KU4XNWY2WlVUDiIR,https://api.spotify.com/v1/audio-analysis/5teOR8KU4XNWY2WlVUDiIR,174107,4
My Little Alien,0.714,0.787,1,-1.781,1,0.0355,0.219,0,0.244,0.482,140.013,audio_features,5km3P1XyhHBednt9vS06Il,spotify:track:5km3P1XyhHBednt9vS06Il,https://api.spotify.com/v1/tracks/5km3P1XyhHBednt9vS06Il,https://api.spotify.com/v1/audio-analysis/5km3P1XyhHBednt9vS06Il,185143,4
I Love You,0.674,0.774,11,-7.567,0,0.0892,0.0686,0.00188,0.393,0.33,112.05,audio_features,62aP9fBQKYKxi7PDXwcUAS,spotify:track:62aP9fBQKYKxi7PDXwcUAS,https://api.spotify.com/v1/tracks/62aP9fBQKYKxi7PDXwcUAS,https://api.spotify.com/v1/audio-analysis/62aP9fBQKYKxi7PDXwcUAS,176547,4
"Chogada (From ""Loveyatri"")",0.359,0.972,7,-3.452,1,0.109,0.136,2.52e-06,0.14,0.595,62.914,audio_features,4ymPEyiXabTe1NO8q8EFxG,spotify:track:4ymPEyiXabTe1NO8q8EFxG,https://api.spotify.com/v1/tracks/4ymPEyiXabTe1NO8q8EFxG,https://api.spotify.com/v1/audio-analysis/4ymPEyiXabTe1NO8q8EFxG,249742,4
Masterpiece,0.892,0.628,1,-3.832,1,0.216,0.169,0,0.102,0.676,92.063,audio_features,70ludZZEUJy1aFVkPI0Kpi,spotify:track:70ludZZEUJy1aFVkPI0Kpi,https://api.spotify.com/v1/tracks/70ludZZEUJy1aFVkPI0Kpi,https://api.spotify.com/v1/audio-analysis/70ludZZEUJy1aFVkPI0Kpi,266067,4
Tujhe Kitna Chahein Aur (Film Version),0.36,0.25,11,-9.506,1,0.0341,0.603,0,0.0915,0.293,145.045,audio_features,0mHU8dcIvGrGDazLMmQpSg,spotify:track:0mHU8dcIvGrGDazLMmQpSg,https://api.spotify.com/v1/tracks/0mHU8dcIvGrGDazLMmQpSg,https://api.spotify.com/v1/audio-analysis/0mHU8dcIvGrGDazLMmQpSg,276245,4
All For Love,0.689,0.901,7,-1.431,1,0.0678,0.145,1.03e-05,0.459,0.651,125.115,audio_features,5VGBgPVFO3e0lWz4WHYntQ,spotify:track:5VGBgPVFO3e0lWz4WHYntQ,https://api.spotify.com/v1/tracks/5VGBgPVFO3e0lWz4WHYntQ,https://api.spotify.com/v1/audio-analysis/5VGBgPVFO3e0lWz4WHYntQ,180485,4
Truthfully,0.721,0.654,8,-6.877,1,0.0351,0.308,0,0.334,0.561,101.999,audio_features,0hSfI42YEQacDi2bTwtQ6P,spotify:track:0hSfI42YEQacDi2bTwtQ6P,https://api.spotify.com/v1/tracks/0hSfI42YEQacDi2bTwtQ6P,https://api.spotify.com/v1/audio-analysis/0hSfI42YEQacDi2bTwtQ6P,182653,4
Hesitate,0.622,0.485,2,-7.259,1,0.0322,0.227,0,0.0889,0.236,118.051,audio_features,7fiFJADUcHwTdYLmnZeLAy,spotify:track:7fiFJADUcHwTdYLmnZeLAy,https://api.spotify.com/v1/tracks/7fiFJADUcHwTdYLmnZeLAy,https://api.spotify.com/v1/audio-analysis/7fiFJADUcHwTdYLmnZeLAy,208840,4
Make Us Never Happen,0.61,0.489,10,-8.541,0,0.127,0.308,0,0.165,0.331,105.016,audio_features,03ARE7xKtbCVV2GE5j0IWq,spotify:track:03ARE7xKtbCVV2GE5j0IWq,https://api.spotify.com/v1/tracks/03ARE7xKtbCVV2GE5j0IWq,https://api.spotify.com/v1/audio-analysis/03ARE7xKtbCVV2GE5j0IWq,171890,4
Indian Summer - Kasbo Remix,0.513,0.639,2,-7.905,1,0.0401,0.0676,0.671,0.116,0.144,89.973,audio_features,2hFD70XI1S5HeGxasMvgbY,spotify:track:2hFD70XI1S5HeGxasMvgbY,https://api.spotify.com/v1/tracks/2hFD70XI1S5HeGxasMvgbY,https://api.spotify.com/v1/audio-analysis/2hFD70XI1S5HeGxasMvgbY,256090,4
Slow Dance,0.692,0.443,1,-5.671,1,0.0386,0.214,0,0.06,0.363,127.899,audio_features,5FNS5Vj69AhRGJWjhrAd01,spotify:track:5FNS5Vj69AhRGJWjhrAd01,https://api.spotify.com/v1/tracks/5FNS5Vj69AhRGJWjhrAd01,https://api.spotify.com/v1/audio-analysis/5FNS5Vj69AhRGJWjhrAd01,178800,4
Only Want You - Recorded at Spotify Studios NYC,0.473,0.359,10,-6.126,0,0.0537,0.775,0,0.0997,0.733,82.37,audio_features,4GMhCoWv6oMahcxHwz0nlR,spotify:track:4GMhCoWv6oMahcxHwz0nlR,https://api.spotify.com/v1/tracks/4GMhCoWv6oMahcxHwz0nlR,https://api.spotify.com/v1/audio-analysis/4GMhCoWv6oMahcxHwz0nlR,142177,4
Big Plans,0.693,0.604,11,-5.279,1,0.0427,0.0668,0,0.114,0.651,75.014,audio_features,3eng6TJxpqjvDkxRpnfnhB,spotify:track:3eng6TJxpqjvDkxRpnfnhB,https://api.spotify.com/v1/tracks/3eng6TJxpqjvDkxRpnfnhB,https://api.spotify.com/v1/audio-analysis/3eng6TJxpqjvDkxRpnfnhB,179930,4
Hula Hoop,0.673,0.842,1,-4.666,1,0.039,0.0248,0,0.294,0.509,121.986,audio_features,0wsXdby1T3PWLauIkGUZzg,spotify:track:0wsXdby1T3PWLauIkGUZzg,https://api.spotify.com/v1/tracks/0wsXdby1T3PWLauIkGUZzg,https://api.spotify.com/v1/audio-analysis/0wsXdby1T3PWLauIkGUZzg,205474,4
Rave in the Grave,0.762,0.724,11,-6.309,0,0.0624,0.138,7.71e-05,0.187,0.775,132.051,audio_features,6Sf2YqGzNmVfSNpLFWuYbz,spotify:track:6Sf2YqGzNmVfSNpLFWuYbz,https://api.spotify.com/v1/tracks/6Sf2YqGzNmVfSNpLFWuYbz,https://api.spotify.com/v1/audio-analysis/6Sf2YqGzNmVfSNpLFWuYbz,162733,4
Beer:30,0.77,0.887,6,-4.772,1,0.0678,0.0228,2.52e-05,0.098,0.817,100.028,audio_features,3jnQaDieHcTkkIrkJFIJvC,spotify:track:3jnQaDieHcTkkIrkJFIJvC,https://api.spotify.com/v1/tracks/3jnQaDieHcTkkIrkJFIJvC,https://api.spotify.com/v1/audio-analysis/3jnQaDieHcTkkIrkJFIJvC,138853,4
Shape of My Heart,0.575,0.786,9,-4.353,1,0.0296,0.252,0,0.159,0.518,96.102,audio_features,35o9a4iAfLl5jRmqMX9c1D,spotify:track:35o9a4iAfLl5jRmqMX9c1D,https://api.spotify.com/v1/tracks/35o9a4iAfLl5jRmqMX9c1D,https://api.spotify.com/v1/audio-analysis/35o9a4iAfLl5jRmqMX9c1D,230093,4
Starlight (Could You Be Mine) - Radio Edit,0.671,0.688,10,-5.05,0,0.0382,0.0187,1.06e-05,0.149,0.154,128.018,audio_features,47S7hRI0vwAOcruZKrxWHD,spotify:track:47S7hRI0vwAOcruZKrxWHD,https://api.spotify.com/v1/tracks/47S7hRI0vwAOcruZKrxWHD,https://api.spotify.com/v1/audio-analysis/47S7hRI0vwAOcruZKrxWHD,199116,4
Who Says,0.682,0.927,4,-2.915,1,0.0479,0.0843,0,0.149,0.744,101.019,audio_features,3TcL0dyCMyr0kyTTc4NLgI,spotify:track:3TcL0dyCMyr0kyTTc4NLgI,https://api.spotify.com/v1/tracks/3TcL0dyCMyr0kyTTc4NLgI,https://api.spotify.com/v1/audio-analysis/3TcL0dyCMyr0kyTTc4NLgI,195613,4
Kya Baat Ay,0.849,0.592,6,-4.309,0,0.102,0.632,2.39e-06,0.108,0.652,89.966,audio_features,1ZaeaGLhFSckG8sv1y7AWk,spotify:track:1ZaeaGLhFSckG8sv1y7AWk,https://api.spotify.com/v1/tracks/1ZaeaGLhFSckG8sv1y7AWk,https://api.spotify.com/v1/audio-analysis/1ZaeaGLhFSckG8sv1y7AWk,179444,4
Breathe,0.746,0.486,10,-7.004,1,0.0344,0.222,1.41e-06,0.123,0.417,92.057,audio_features,267nfLfaSSDa9ivHncHynh,spotify:track:267nfLfaSSDa9ivHncHynh,https://api.spotify.com/v1/tracks/267nfLfaSSDa9ivHncHynh,https://api.spotify.com/v1/audio-analysis/267nfLfaSSDa9ivHncHynh,233228,4
"fuck, i'm lonely (with Anne-Marie)",0.806,0.558,9,-6.46,1,0.0683,0.482,0,0.0618,0.678,95.016,audio_features,09PGubKAMryhOWv1LHpCYz,spotify:track:09PGubKAMryhOWv1LHpCYz,https://api.spotify.com/v1/tracks/09PGubKAMryhOWv1LHpCYz,https://api.spotify.com/v1/audio-analysis/09PGubKAMryhOWv1LHpCYz,198973,4
Make You Believe In Love - AronChupa Remix,0.778,0.783,1,-6.671,0,0.101,0.0308,0.000141,0.443,0.544,121.97,audio_features,0CI8r4jOxMSWbNAk7B87hL,spotify:track:0CI8r4jOxMSWbNAk7B87hL,https://api.spotify.com/v1/tracks/0CI8r4jOxMSWbNAk7B87hL,https://api.spotify.com/v1/audio-analysis/0CI8r4jOxMSWbNAk7B87hL,178253,4
How You Love Me,0.64,0.835,0,-4.806,1,0.0413,0.0726,3.11e-06,0.132,0.704,109.496,audio_features,6F2HTkV6IEBc2cSxagdWVf,spotify:track:6F2HTkV6IEBc2cSxagdWVf,https://api.spotify.com/v1/tracks/6F2HTkV6IEBc2cSxagdWVf,https://api.spotify.com/v1/audio-analysis/6F2HTkV6IEBc2cSxagdWVf,205920,4
Just Friends,0.743,0.735,8,-5.337,1,0.0382,0.00389,0,0.304,0.631,104.979,audio_features,7iNIg7XDEaYECfWD5dJ9Va,spotify:track:7iNIg7XDEaYECfWD5dJ9Va,https://api.spotify.com/v1/tracks/7iNIg7XDEaYECfWD5dJ9Va,https://api.spotify.com/v1/audio-analysis/7iNIg7XDEaYECfWD5dJ9Va,189467,4
Need Somebody,0.69,0.702,11,-6.103,1,0.0901,0.247,0,0.262,0.611,92.996,audio_features,1TPUbLdzpfgF7wrPEXIAAB,spotify:track:1TPUbLdzpfgF7wrPEXIAAB,https://api.spotify.com/v1/tracks/1TPUbLdzpfgF7wrPEXIAAB,https://api.spotify.com/v1/audio-analysis/1TPUbLdzpfgF7wrPEXIAAB,207720,4
The Bones,0.561,0.597,11,-6.0,0,0.0405,0.286,0,0.0979,0.355,76.826,audio_features,1yTTMcUhL7rtz08Dsgb7Qb,spotify:track:1yTTMcUhL7rtz08Dsgb7Qb,https://api.spotify.com/v1/tracks/1yTTMcUhL7rtz08Dsgb7Qb,https://api.spotify.com/v1/audio-analysis/1yTTMcUhL7rtz08Dsgb7Qb,197299,4
"Ghungroo (From ""War"")",0.695,0.727,6,-6.274,0,0.0323,0.0744,0.000175,0.533,0.864,118.034,audio_features,0WdbnNKO0Jt4BZACSDQh44,spotify:track:0WdbnNKO0Jt4BZACSDQh44,https://api.spotify.com/v1/tracks/0WdbnNKO0Jt4BZACSDQh44,https://api.spotify.com/v1/audio-analysis/0WdbnNKO0Jt4BZACSDQh44,302935,4
Symphony,0.707,0.629,0,-4.581,0,0.0563,0.259,1.6e-05,0.138,0.457,122.863,audio_features,1x5sYLZiu9r5E43kMlt9f8,spotify:track:1x5sYLZiu9r5E43kMlt9f8,https://api.spotify.com/v1/tracks/1x5sYLZiu9r5E43kMlt9f8,https://api.spotify.com/v1/audio-analysis/1x5sYLZiu9r5E43kMlt9f8,212459,4
Fast Car,0.672,0.578,9,-6.621,1,0.0569,0.469,0,0.312,0.548,113.945,audio_features,1SN1vSPsr4V4tIUTR3s8YW,spotify:track:1SN1vSPsr4V4tIUTR3s8YW,https://api.spotify.com/v1/tracks/1SN1vSPsr4V4tIUTR3s8YW,https://api.spotify.com/v1/audio-analysis/1SN1vSPsr4V4tIUTR3s8YW,212424,4
Connection,0.611,0.602,5,-4.89,1,0.0437,0.000837,0,0.112,0.624,168.154,audio_features,3T4UodGkfZObJ43RtA5KFU,spotify:track:3T4UodGkfZObJ43RtA5KFU,https://api.spotify.com/v1/tracks/3T4UodGkfZObJ43RtA5KFU,https://api.spotify.com/v1/audio-analysis/3T4UodGkfZObJ43RtA5KFU,148460,4
Duniyaa,0.435,0.658,7,-5.949,0,0.0368,0.699,0,0.125,0.524,77.17,audio_features,2tjWCe2W7sgvS3C8NHcdtI,spotify:track:2tjWCe2W7sgvS3C8NHcdtI,https://api.spotify.com/v1/tracks/2tjWCe2W7sgvS3C8NHcdtI,https://api.spotify.com/v1/audio-analysis/2tjWCe2W7sgvS3C8NHcdtI,222501,4
"Coca Cola (From ""Luka Chuppi"")",0.722,0.867,0,-3.652,0,0.0904,0.121,0.0052,0.123,0.893,102.009,audio_features,352wEkChkiClswqwDoM0nj,spotify:track:352wEkChkiClswqwDoM0nj,https://api.spotify.com/v1/tracks/352wEkChkiClswqwDoM0nj,https://api.spotify.com/v1/audio-analysis/352wEkChkiClswqwDoM0nj,179225,4
For a Little,0.619,0.305,7,-8.23,1,0.0441,0.867,6.75e-06,0.0856,0.506,84.36,audio_features,6AYsQnYU0jI7YEL4rGbCHK,spotify:track:6AYsQnYU0jI7YEL4rGbCHK,https://api.spotify.com/v1/tracks/6AYsQnYU0jI7YEL4rGbCHK,https://api.spotify.com/v1/audio-analysis/6AYsQnYU0jI7YEL4rGbCHK,97031,4
World Turns Grey (feat. Princess Chelsea),0.753,0.905,3,-7.474,1,0.0659,0.0202,0.656,0.094,0.0964,119.986,audio_features,7MOTWBAHHzaEU31Bn7iXwQ,spotify:track:7MOTWBAHHzaEU31Bn7iXwQ,https://api.spotify.com/v1/tracks/7MOTWBAHHzaEU31Bn7iXwQ,https://api.spotify.com/v1/audio-analysis/7MOTWBAHHzaEU31Bn7iXwQ,232117,4
High (& Dua Lipa),0.708,0.552,10,-5.552,0,0.21,0.0922,0,0.0541,0.686,147.834,audio_features,3dD9yyYTQ73SZvyOygyKva,spotify:track:3dD9yyYTQ73SZvyOygyKva,https://api.spotify.com/v1/tracks/3dD9yyYTQ73SZvyOygyKva,https://api.spotify.com/v1/audio-analysis/3dD9yyYTQ73SZvyOygyKva,196707,4
